mapTarget,mapTargetName
N71.0,Acute inflammatory disease of uterus
G91.0,Communicating hydrocephalus
O32.8XX0,"Maternal care for other malpresentation of fetus, not applicable or unspecified"
F06.8,Other specified mental disorders due to known physiological condition
Z87.74,Personal history of (corrected) congenital malformations of heart and circulatory system
Q80.4,Harlequin fetus
F98.3,Pica of infancy and childhood
S20.469?,"Insect bite (nonvenomous) of unspecified back wall of thorax, episode of care unspecified"
T85.29X?,"Other mechanical complication of intraocular lens, episode of care unspecified"
Y77.2,"Prosthetic and other implants, materials and accessory ophthalmic devices associated with adverse incidents"
H02.859,"Elephantiasis of unspecified eye, unspecified eyelid"
G47.11,Idiopathic hypersomnia with long sleep time
R40.0,Somnolence
G47.53,Recurrent isolated sleep paralysis
K52.22,Food protein-induced enteropathy
P52.8,Other intracranial (nontraumatic) hemorrhages of newborn
I62.00,"Nontraumatic subdural hemorrhage, unspecified"
D64.3,Other sideroblastic anemias
T36.0X2?,"Poisoning by penicillins, intentional self-harm, episode of care unspecified"
T46.4X5?,"Adverse effect of angiotensin-converting-enzyme inhibitors, episode of care unspecified"
E87.5,Hyperkalemia
F80.81,Childhood onset fluency disorder
R20.3,Hyperesthesia
T44.1X2?,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, episode of care unspecified"
T44.1X1?,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), episode of care unspecified"
S90.466?,"Insect bite (nonvenomous), unspecified lesser toe(s), episode of care unspecified"
S90.416?,"Abrasion, unspecified lesser toe(s), episode of care unspecified"
S90.456?,"Superficial foreign body, unspecified lesser toe(s), episode of care unspecified"
S90.936?,"Unspecified superficial injury of unspecified lesser toe(s), episode of care unspecified"
A82.9,"Rabies, unspecified"
H27.131,"Posterior dislocation of lens, right eye"
H27.132,"Posterior dislocation of lens, left eye"
H27.139,"Posterior dislocation of lens, unspecified eye"
M46.24,"Osteomyelitis of vertebra, thoracic region"
M51.34,"Other intervertebral disc degeneration, thoracic region"
S35.329?,"Unspecified injury of splenic vein, episode of care unspecified"
I69.80,Unspecified sequelae of other cerebrovascular disease
G30.9,"Alzheimer's disease, unspecified"
E75.4,Neuronal ceroid lipofuscinosis
I77.811,Abdominal aortic ectasia
Q52.11,Transverse vaginal septum
Q52.129,Other and unspecified longitudinal vaginal septum
P26.8,Other pulmonary hemorrhages originating in the perinatal period
I85.00,Esophageal varices without bleeding
R15.1,Fecal smearing
R15.2,Fecal urgency
R41.841,Cognitive communication deficit
R41.842,Visuospatial deficit
H20.829,"Vogt-Koyanagi syndrome, unspecified eye"
Z87.411,Personal history of vaginal dysplasia
Z87.412,Personal history of vulvar dysplasia
N49.3,Fournier gangrene
Z18.11,Retained magnetic metal fragments
Z18.10,"Retained metal fragments, unspecified"
E51.12,Wet beriberi
T22.039?,"Burn of unspecified degree of unspecified upper arm, episode of care unspecified"
Z18.81,Retained glass fragments
E32.8,Other diseases of thymus
L02.236,Carbuncle of umbilicus
R94.128,Abnormal results of other function studies of ear and other special senses
T31.10,Burns involving 10-19% of body surface with 0% to 9% third degree burns
T17.300?,"Unspecified foreign body in larynx causing asphyxiation, episode of care unspecified"
P52.6,Cerebellar (nontraumatic) and posterior fossa hemorrhage of newborn
I61.4,Nontraumatic intracerebral hemorrhage in cerebellum
J10.00,Influenza due to other identified influenza virus with unspecified type of pneumonia
Z66,Do not resuscitate
G46.1,Anterior cerebral artery syndrome
Z20.1,Contact with and (suspected) exposure to tuberculosis
E83.111,Hemochromatosis due to repeated red blood cell transfusions
K51.80,Other ulcerative colitis without complications
C90.21,Extramedullary plasmacytoma in remission
C90.01,Multiple myeloma in remission
C90.11,Plasma cell leukemia in remission
Z85.42,Personal history of malignant neoplasm of other parts of uterus
Z85.3,Personal history of malignant neoplasm of breast
S31.40X?,"Unspecified open wound of vagina and vulva, episode of care unspecified"
C7A.098,Malignant carcinoid tumors of other sites
N17.2,Acute kidney failure with medullary necrosis
Z62.898,Other specified problems related to upbringing
Z80.3,Family history of malignant neoplasm of breast
Z92.3,Personal history of irradiation
A74.81,Chlamydial peritonitis
I82.891,Chronic embolism and thrombosis of other specified veins
M47.019,"Anterior spinal artery compression syndromes, site unspecified"
M47.012,"Anterior spinal artery compression syndromes, cervical region"
M47.016,"Anterior spinal artery compression syndromes, lumbar region"
M47.014,"Anterior spinal artery compression syndromes, thoracic region"
M47.015,"Anterior spinal artery compression syndromes, thoracolumbar region"
M47.029,"Vertebral artery compression syndromes, site unspecified"
Q79.4,Prune belly syndrome
H16.211,"Exposure keratoconjunctivitis, right eye"
H16.212,"Exposure keratoconjunctivitis, left eye"
H16.213,"Exposure keratoconjunctivitis, bilateral"
H16.219,"Exposure keratoconjunctivitis, unspecified eye"
M18.9,"Osteoarthritis of first carpometacarpal joint, unspecified"
M18.12,"Unilateral primary osteoarthritis of first carpometacarpal joint, left hand"
M18.11,"Unilateral primary osteoarthritis of first carpometacarpal joint, right hand"
M19.049,"Primary osteoarthritis, unspecified hand"
T18.0XX?,"Foreign body in mouth, episode of care unspecified"
A30.0,Indeterminate leprosy
Z20.818,Contact with and (suspected) exposure to other bacterial communicable diseases
O28.3,Abnormal ultrasonic finding on antenatal screening of mother
Q41.0,"Congenital absence, atresia and stenosis of duodenum"
Q41.1,"Congenital absence, atresia and stenosis of jejunum"
Q41.2,"Congenital absence, atresia and stenosis of ileum"
Q07.01,Arnold-Chiari syndrome with spina bifida
Q03.1,Atresia of foramina of Magendie and Luschka
G80.8,Other cerebral palsy
R19.5,Other fecal abnormalities
H47.021,"Hemorrhage in optic nerve sheath, right eye"
H47.022,"Hemorrhage in optic nerve sheath, left eye"
H47.023,"Hemorrhage in optic nerve sheath, bilateral"
H47.029,"Hemorrhage in optic nerve sheath, unspecified eye"
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe"
F14.10,"Cocaine abuse, uncomplicated"
K92.81,Gastrointestinal mucositis (ulcerative)
F63.89,Other impulse disorders
F11.10,"Opioid abuse, uncomplicated"
H02.539,"Eyelid retraction unspecified eye, unspecified lid"
A80.4,Acute nonparalytic poliomyelitis
T86.898,Other complications of other transplanted tissue
T86.828,Other complications of skin graft (allograft) (autograft)
I87.2,Venous insufficiency (chronic) (peripheral)
L76.33,Postprocedural seroma of skin and subcutaneous tissue following a dermatologic procedure
Q14.0,Congenital malformation of vitreous humor
I69.990,Apraxia following unspecified cerebrovascular disease
J84.81,Lymphangioleiomyomatosis
I27.23,Pulmonary hypertension due to lung diseases and hypoxia
Q85.1,Tuberous sclerosis
T86.13,Kidney transplant infection
L68.8,Other hypertrichosis
Q18.5,Microstomia
F16.10,"Hallucinogen abuse, uncomplicated"
T37.1X2?,"Poisoning by antimycobacterial drugs, intentional self-harm, episode of care unspecified"
T37.1X1?,"Poisoning by antimycobacterial drugs, accidental (unintentional), episode of care unspecified"
M32.13,Lung involvement in systemic lupus erythematosus
L02.12,Furuncle of neck
H50.50,Unspecified heterophoria
F43.21,Adjustment disorder with depressed mood
R11.11,Vomiting without nausea
S31.102?,"Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity, episode of care unspecified"
T23.109?,"Burn of first degree of unspecified hand, unspecified site, episode of care unspecified"
A68.0,Louse-borne relapsing fever
O03.88,Urinary tract infection following complete or unspecified spontaneous abortion
J63.1,Bauxite fibrosis (of lung)
F19.21,"Other psychoactive substance dependence, in remission"
I45.2,Bifascicular block
K38.8,Other specified diseases of appendix
I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
A43.8,Other forms of nocardiosis
F11.988,"Opioid use, unspecified with other opioid-induced disorder"
H50.42,Monofixation syndrome
G56.30,"Lesion of radial nerve, unspecified upper limb"
H00.19,"Chalazion unspecified eye, unspecified eyelid"
O70.9,"Perineal laceration during delivery, unspecified"
S31.41X?,"Laceration without foreign body of vagina and vulva, episode of care unspecified"
H73.20,"Unspecified myringitis, unspecified ear"
H05.429,"Enophthalmos due to trauma or surgery, unspecified eye"
Q77.0,Achondrogenesis
R11.2,"Nausea with vomiting, unspecified"
N91.3,Primary oligomenorrhea
H00.013,"Hordeolum externum right eye, unspecified eyelid"
H00.016,"Hordeolum externum left eye, unspecified eyelid"
H00.019,"Hordeolum externum unspecified eye, unspecified eyelid"
T23.009?,"Burn of unspecified degree of unspecified hand, unspecified site, episode of care unspecified"
H30.139,"Disseminated chorioretinal inflammation, generalized, unspecified eye"
E89.3,Postprocedural hypopituitarism
K03.5,Ankylosis of teeth
Y99.1,Military activity
S62.183?,"Displaced fracture of trapezoid [smaller multangular], unspecified wrist, episode of care unspecified"
H44.002,"Unspecified purulent endophthalmitis, left eye"
E78.81,Lipoid dermatoarthritis
H66.009,"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear"
M23.50,"Chronic instability of knee, unspecified knee"
N36.0,Urethral fistula
M21.80,Other specified acquired deformities of unspecified limb
F30.8,Other manic episodes
S30.21X?,"Contusion of penis, episode of care unspecified"
N13.71,Vesicoureteral-reflux without reflux nephropathy
E11.3592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye"
E11.3591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye"
E11.3519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
E11.3593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
H43.392,"Other vitreous opacities, left eye"
H43.391,"Other vitreous opacities, right eye"
H43.393,"Other vitreous opacities, bilateral"
H43.399,"Other vitreous opacities, unspecified eye"
I30.1,Infective pericarditis
T38.7X2?,"Poisoning by androgens and anabolic congeners, intentional self-harm, episode of care unspecified"
T38.7X1?,"Poisoning by androgens and anabolic congeners, accidental (unintentional), episode of care unspecified"
O32.9XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified"
S20.169?,"Insect bite (nonvenomous) of breast, unspecified breast, episode of care unspecified"
R14.2,Eructation
K62.9,"Disease of anus and rectum, unspecified"
K86.89,Other specified diseases of pancreas
K31.9,"Disease of stomach and duodenum, unspecified"
K29.41,Chronic atrophic gastritis with bleeding
G71.220,X-linked myotubular myopathy
Z31.89,Encounter for other procreative management
Z30.46,Encounter for surveillance of implantable subdermal contraceptive
Z30.431,Encounter for routine checking of intrauterine contraceptive device
Z30.49,Encounter for surveillance of other contraceptives
Z30.42,Encounter for surveillance of injectable contraceptive
L93.2,Other local lupus erythematosus
Z30.430,Encounter for insertion of intrauterine contraceptive device
Z79.890,Hormone replacement therapy
Q22.2,Congenital pulmonary valve insufficiency
A54.81,Gonococcal meningitis
E11.41,Type 2 diabetes mellitus with diabetic mononeuropathy
E11.44,Type 2 diabetes mellitus with diabetic amyotrophy
E11.610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy
Z82.5,Family history of asthma and other chronic lower respiratory diseases
Z83.6,Family history of other diseases of the respiratory system
Q44.3,Congenital stenosis and stricture of bile ducts
Z91.030,Bee allergy status
Z91.038,Other insect allergy status
R76.0,Raised antibody titer
Z38.30,"Twin liveborn infant, delivered vaginally"
S36.112?,"Contusion of liver, episode of care unspecified"
S36.113?,"Laceration of liver, unspecified degree, episode of care unspecified"
S36.115?,"Moderate laceration of liver, episode of care unspecified"
S36.114?,"Minor laceration of liver, episode of care unspecified"
Q64.73,Congenital urethrorectal fistula
F10.11,"Alcohol abuse, in remission"
B65.1,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
Z71.1,Person with feared health complaint in whom no diagnosis is made
W31.9XX?,"Contact with unspecified machinery, episode of care unspecified"
H73.90,"Unspecified disorder of tympanic membrane, unspecified ear"
Q27.4,Congenital phlebectasia
Q25.8,Other congenital malformations of other great arteries
F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms"
J21.9,"Acute bronchiolitis, unspecified"
Z74.2,Need for assistance at home and no other household member able to render care
A17.1,Meningeal tuberculoma
H53.131,"Sudden visual loss, right eye"
H53.132,"Sudden visual loss, left eye"
H53.133,"Sudden visual loss, bilateral"
H53.139,"Sudden visual loss, unspecified eye"
J93.83,Other pneumothorax
B55.1,Cutaneous leishmaniasis
S30.820?,"Blister (nonthermal) of lower back and pelvis, episode of care unspecified"
M83.9,"Adult osteomalacia, unspecified"
I63.133,Cerebral infarction due to embolism of bilateral carotid arteries
Z32.00,"Encounter for pregnancy test, result unknown"
O26.619,"Liver and biliary tract disorders in pregnancy, unspecified trimester"
H44.649,"Retained (old) magnetic foreign body in posterior wall of globe, unspecified eye"
K91.840,Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure
K22.6,Gastro-esophageal laceration-hemorrhage syndrome
K22.11,Ulcer of esophagus with bleeding
K20.91,"Esophagitis, unspecified with bleeding"
G21.0,Malignant neuroleptic syndrome
S90.426?,"Blister (nonthermal), unspecified lesser toe(s), episode of care unspecified"
S90.829?,"Blister (nonthermal), unspecified foot, episode of care unspecified"
G45.8,Other transient cerebral ischemic attacks and related syndromes
D55.8,Other anemias due to enzyme disorders
F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
R19.15,Other abnormal bowel sounds
Z85.6,Personal history of leukemia
Z99.81,Dependence on supplemental oxygen
P28.31,Primary central sleep apnea of newborn
G47.31,Primary central sleep apnea
O34.539,"Maternal care for retroversion of gravid uterus, unspecified trimester"
N85.4,Malposition of uterus
O34.519,"Maternal care for incarceration of gravid uterus, unspecified trimester"
F31.73,"Bipolar disorder, in partial remission, most recent episode manic"
E11.628,Type 2 diabetes mellitus with other skin complications
F52.1,Sexual aversion disorder
J02.8,Acute pharyngitis due to other specified organisms
Z94.84,Stem cells transplant status
M27.1,"Giant cell granuloma, central"
H40.51X0,"Glaucoma secondary to other eye disorders, right eye, stage unspecified"
H40.52X0,"Glaucoma secondary to other eye disorders, left eye, stage unspecified"
H40.53X0,"Glaucoma secondary to other eye disorders, bilateral, stage unspecified"
H40.89,Other specified glaucoma
H27.01,"Aphakia, right eye"
H27.02,"Aphakia, left eye"
H27.03,"Aphakia, bilateral"
O35.00X0,"Maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, not applicable or unspecified"
I87.399,Chronic venous hypertension (idiopathic) with other complications of unspecified lower extremity
I87.339,Chronic venous hypertension (idiopathic) with ulcer and inflammation of unspecified lower extremity
I87.319,Chronic venous hypertension (idiopathic) with ulcer of unspecified lower extremity
S82.53X?,"Displaced fracture of medial malleolus of unspecified tibia, episode of care unspecified"
K55.059,"Acute (reversible) ischemia of intestine, part and extent unspecified"
I50.43,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
I50.41,Acute combined systolic (congestive) and diastolic (congestive) heart failure
I50.42,Chronic combined systolic (congestive) and diastolic (congestive) heart failure
O88.03,Air embolism in the puerperium
O88.019,"Air embolism in pregnancy, unspecified trimester"
Z80.49,Family history of malignant neoplasm of other genital organs
F52.32,Male orgasmic disorder
N53.11,Retarded ejaculation
O91.113,"Abscess of breast associated with pregnancy, third trimester"
Z87.01,Personal history of pneumonia (recurrent)
K86.0,Alcohol-induced chronic pancreatitis
S30.98X?,"Unspecified superficial injury of anus, episode of care unspecified"
S83.106?,"Unspecified dislocation of unspecified knee, episode of care unspecified"
N40.2,Nodular prostate without lower urinary tract symptoms
M40.40,"Postural lordosis, site unspecified"
Q68.2,Congenital deformity of knee
Q21.10,"Atrial septal defect, unspecified"
Q21.21,Partial atrioventricular septal defect
D18.02,Hemangioma of intracranial structures
Z37.2,"Twins, both liveborn"
E05.01,Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
F10.288,Alcohol dependence with other alcohol-induced disorder
O71.00,"Rupture of uterus before onset of labor, unspecified trimester"
O71.1,Rupture of uterus during labor
O66.9,"Obstructed labor, unspecified"
O66.8,Other specified obstructed labor
O67.8,Other intrapartum hemorrhage
E50.5,Vitamin A deficiency with night blindness
M86.459,"Chronic osteomyelitis with draining sinus, unspecified femur"
G40.019,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus"
G40.009,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus"
K85.91,"Acute pancreatitis with uninfected necrosis, unspecified"
S85.009?,"Unspecified injury of popliteal artery, unspecified leg, episode of care unspecified"
S85.019?,"Laceration of popliteal artery, unspecified leg, episode of care unspecified"
P56.0,Hydrops fetalis due to isoimmunization
I42.5,Other restrictive cardiomyopathy
M30.0,Polyarteritis nodosa
M30.2,Juvenile polyarteritis
Q51.820,Cervical duplication
Q51.3,Bicornate uterus
Q51.28,Other and unspecified doubling of uterus
M20.019,Mallet finger of unspecified finger(s)
S66.909?,"Unspecified injury of unspecified muscle, fascia and tendon at wrist and hand level, unspecified hand, episode of care unspecified"
S92.909?,"Unspecified fracture of unspecified foot, episode of care unspecified"
O03.6,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
N91.0,Primary amenorrhea
J30.81,Allergic rhinitis due to animal (cat) (dog) hair and dander
O03.4,Incomplete spontaneous abortion without complication
O03.81,Shock following complete or unspecified spontaneous abortion
O03.9,Complete or unspecified spontaneous abortion without complication
O34.29,Maternal care due to uterine scar from other previous surgery
O69.3XX0,"Labor and delivery complicated by short cord, not applicable or unspecified"
Q27.9,"Congenital malformation of peripheral vascular system, unspecified"
O26.93,"Pregnancy related conditions, unspecified, third trimester"
B74.4,Mansonelliasis
M67.833,"Other specified disorders of tendon, right wrist"
M65.231,"Calcific tendinitis, right forearm"
M67.834,"Other specified disorders of tendon, left wrist"
M65.232,"Calcific tendinitis, left forearm"
M65.241,"Calcific tendinitis, right hand"
M65.242,"Calcific tendinitis, left hand"
M46.1,"Sacroiliitis, not elsewhere classified"
H46.01,"Optic papillitis, right eye"
H46.11,"Retrobulbar neuritis, right eye"
H30.91,"Unspecified chorioretinal inflammation, right eye"
H46.03,"Optic papillitis, bilateral"
H46.13,"Retrobulbar neuritis, bilateral"
H30.93,"Unspecified chorioretinal inflammation, bilateral"
H46.02,"Optic papillitis, left eye"
H46.12,"Retrobulbar neuritis, left eye"
H30.92,"Unspecified chorioretinal inflammation, left eye"
H01.003,"Unspecified blepharitis right eye, unspecified eyelid"
H10.523,"Angular blepharoconjunctivitis, bilateral"
H01.006,"Unspecified blepharitis left eye, unspecified eyelid"
G24.5,Blepharospasm
H50.331,"Intermittent monocular exotropia, right eye"
H50.332,"Intermittent monocular exotropia, left eye"
I83.812,Varicose veins of left lower extremity with pain
M23.41,"Loose body in knee, right knee"
M23.42,"Loose body in knee, left knee"
M26.603,"Bilateral temporomandibular joint disorder, unspecified"
H50.312,"Intermittent monocular esotropia, left eye"
H50.32,Intermittent alternating esotropia
H50.00,Unspecified esotropia
H50.311,"Intermittent monocular esotropia, right eye"
H47.213,"Primary optic atrophy, bilateral"
L21.0,Seborrhea capitis
Z3A.16,16 weeks gestation of pregnancy
H33.21,"Serous retinal detachment, right eye"
H33.22,"Serous retinal detachment, left eye"
H33.23,"Serous retinal detachment, bilateral"
H40.1120,"Primary open-angle glaucoma, left eye, stage unspecified"
M54.41,"Lumbago with sciatica, right side"
M54.42,"Lumbago with sciatica, left side"
N64.52,Nipple discharge
M25.431,"Effusion, right wrist"
M25.432,"Effusion, left wrist"
R93.49,Abnormal radiologic findings on diagnostic imaging of other urinary organs
R93.421,Abnormal radiologic findings on diagnostic imaging of right kidney
R93.422,Abnormal radiologic findings on diagnostic imaging of left kidney
R90.81,Abnormal echoencephalogram
A66.3,Hyperkeratosis of yaws
G57.13,"Meralgia paresthetica, bilateral lower limbs"
M79.651,Pain in right thigh
M79.652,Pain in left thigh
M79.674,Pain in right toe(s)
M79.675,Pain in left toe(s)
M79.604,Pain in right leg
M79.605,Pain in left leg
S66.811?,"Strain of other specified muscles, fascia and tendons at wrist and hand level, right hand, episode of care unspecified"
M79.641,Pain in right hand
S66.812?,"Strain of other specified muscles, fascia and tendons at wrist and hand level, left hand, episode of care unspecified"
M79.642,Pain in left hand
M79.601,Pain in right arm
M79.602,Pain in left arm
M25.661,"Stiffness of right knee, not elsewhere classified"
M25.662,"Stiffness of left knee, not elsewhere classified"
H40.033,"Anatomical narrow angle, bilateral"
H40.20X0,"Unspecified primary angle-closure glaucoma, stage unspecified"
H40.032,"Anatomical narrow angle, left eye"
H40.031,"Anatomical narrow angle, right eye"
P07.38,"Preterm newborn, gestational age 35 completed weeks"
P07.37,"Preterm newborn, gestational age 34 completed weeks"
P07.36,"Preterm newborn, gestational age 33 completed weeks"
P07.35,"Preterm newborn, gestational age 32 completed weeks"
P07.34,"Preterm newborn, gestational age 31 completed weeks"
P08.1,Other heavy for gestational age newborn
M75.01,Adhesive capsulitis of right shoulder
M75.02,Adhesive capsulitis of left shoulder
M77.01,"Medial epicondylitis, right elbow"
M77.02,"Medial epicondylitis, left elbow"
M20.21,"Hallux rigidus, right foot"
M20.22,"Hallux rigidus, left foot"
M25.611,"Stiffness of right shoulder, not elsewhere classified"
M25.612,"Stiffness of left shoulder, not elsewhere classified"
M25.641,"Stiffness of right hand, not elsewhere classified"
M25.642,"Stiffness of left hand, not elsewhere classified"
L40.53,Psoriatic spondylitis
L40.51,Distal interphalangeal psoriatic arthropathy
L40.59,Other psoriatic arthropathy
M76.31,"Iliotibial band syndrome, right leg"
M76.32,"Iliotibial band syndrome, left leg"
M65.311,"Trigger thumb, right thumb"
M65.312,"Trigger thumb, left thumb"
M23.304,"Other meniscus derangements, unspecified medial meniscus, left knee"
M23.303,"Other meniscus derangements, unspecified medial meniscus, right knee"
M71.21,"Synovial cyst of popliteal space [Baker], right knee"
M71.22,"Synovial cyst of popliteal space [Baker], left knee"
H50.43,Accommodative component in esotropia
M67.431,"Ganglion, right wrist"
M67.432,"Ganglion, left wrist"
M21.371,"Foot drop, right foot"
M21.372,"Foot drop, left foot"
M25.311,"Other instability, right shoulder"
M25.312,"Other instability, left shoulder"
D31.31,Benign neoplasm of right choroid
D31.32,Benign neoplasm of left choroid
M92.8,Other specified juvenile osteochondrosis
M20.011,Mallet finger of right finger(s)
M20.012,Mallet finger of left finger(s)
M25.461,"Effusion, right knee"
M25.462,"Effusion, left knee"
F32.1,"Major depressive disorder, single episode, moderate"
H04.553,Acquired stenosis of bilateral nasolacrimal duct
H04.551,Acquired stenosis of right nasolacrimal duct
H04.552,Acquired stenosis of left nasolacrimal duct
H35.81,Retinal edema
H34.8130,"Central retinal vein occlusion, bilateral, with macular edema"
H34.8330,"Tributary (branch) retinal vein occlusion, bilateral, with macular edema"
H26.31,"Drug-induced cataract, right eye"
H26.32,"Drug-induced cataract, left eye"
H02.403,Unspecified ptosis of bilateral eyelids
H02.401,Unspecified ptosis of right eyelid
H02.402,Unspecified ptosis of left eyelid
M77.31,"Calcaneal spur, right foot"
M77.32,"Calcaneal spur, left foot"
I83.811,Varicose veins of right lower extremity with pain
H40.1110,"Primary open-angle glaucoma, right eye, stage unspecified"
I70.218,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity"
I70.308,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity"
I70.408,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity"
T44.0X2?,"Poisoning by anticholinesterase agents, intentional self-harm, episode of care unspecified"
T44.0X1?,"Poisoning by anticholinesterase agents, accidental (unintentional), episode of care unspecified"
I72.1,Aneurysm of artery of upper extremity
M23.8X1,Other internal derangements of right knee
Z94.7,Corneal transplant status
W73.XXX?,"Other specified cause of accidental non-transport drowning and submersion, episode of care unspecified"
M24.573,"Contracture, unspecified ankle"
O44.10,"Complete placenta previa with hemorrhage, unspecified trimester"
Z87.820,Personal history of traumatic brain injury
M25.061,"Hemarthrosis, right knee"
M25.062,"Hemarthrosis, left knee"
D31.41,Benign neoplasm of right ciliary body
D31.42,Benign neoplasm of left ciliary body
D31.21,Benign neoplasm of right retina
D31.22,Benign neoplasm of left retina
D31.01,Benign neoplasm of right conjunctiva
D31.02,Benign neoplasm of left conjunctiva
H11.133,"Conjunctival pigmentations, bilateral"
M12.271,"Villonodular synovitis (pigmented), right ankle and foot"
Q68.0,Congenital deformity of sternocleidomastoid muscle
Q14.8,Other congenital malformations of posterior segment of eye
Q69.2,Accessory toe(s)
Q69.1,Accessory thumb(s)
Q66.221,"Congenital metatarsus adductus, right foot"
Q66.222,"Congenital metatarsus adductus, left foot"
Q68.4,Congenital bowing of tibia and fibula
Q65.9,"Congenital deformity of hip, unspecified"
Q66.11,"Congenital talipes calcaneovarus, right foot"
Q66.12,"Congenital talipes calcaneovarus, left foot"
Q66.41,"Congenital talipes calcaneovalgus, right foot"
Q66.42,"Congenital talipes calcaneovalgus, left foot"
Q71.891,Other reduction defects of right upper limb
Q71.892,Other reduction defects of left upper limb
Q71.02,Congenital complete absence of left upper limb
Q71.01,Congenital complete absence of right upper limb
S53.006?,"Unspecified dislocation of unspecified radial head, episode of care unspecified"
T60.1X1?,"Toxic effect of halogenated insecticides, accidental (unintentional), episode of care unspecified"
K25.7,Chronic gastric ulcer without hemorrhage or perforation
M76.11,"Psoas tendinitis, right hip"
M76.12,"Psoas tendinitis, left hip"
M76.821,"Posterior tibial tendinitis, right leg"
M76.822,"Posterior tibial tendinitis, left leg"
M76.01,"Gluteal tendinitis, right hip"
M76.02,"Gluteal tendinitis, left hip"
M65.221,"Calcific tendinitis, right upper arm"
M65.222,"Calcific tendinitis, left upper arm"
I01.0,Acute rheumatic pericarditis
M60.861,"Other myositis, right lower leg"
M60.9,"Myositis, unspecified"
M60.862,"Other myositis, left lower leg"
M60.831,"Other myositis, right forearm"
M60.832,"Other myositis, left forearm"
M60.871,"Other myositis, right ankle and foot"
M60.872,"Other myositis, left ankle and foot"
M60.821,"Other myositis, right upper arm"
M60.822,"Other myositis, left upper arm"
M60.851,"Other myositis, right thigh"
M60.852,"Other myositis, left thigh"
M60.811,"Other myositis, right shoulder"
M60.812,"Other myositis, left shoulder"
H20.13,"Chronic iridocyclitis, bilateral"
H20.12,"Chronic iridocyclitis, left eye"
H20.11,"Chronic iridocyclitis, right eye"
H20.21,"Lens-induced iridocyclitis, right eye"
H21.01,"Hyphema, right eye"
H40.41X0,"Glaucoma secondary to eye inflammation, right eye, stage unspecified"
H20.22,"Lens-induced iridocyclitis, left eye"
H21.02,"Hyphema, left eye"
H40.42X0,"Glaucoma secondary to eye inflammation, left eye, stage unspecified"
B30.1,Conjunctivitis due to adenovirus
B30.9,"Viral conjunctivitis, unspecified"
B30.0,Keratoconjunctivitis due to adenovirus
B00.53,Herpesviral conjunctivitis
B02.31,Zoster conjunctivitis
B30.3,Acute epidemic hemorrhagic conjunctivitis (enteroviral)
H33.301,"Unspecified retinal break, right eye"
H33.302,"Unspecified retinal break, left eye"
H33.319,"Horseshoe tear of retina without detachment, unspecified eye"
H33.303,"Unspecified retinal break, bilateral"
H33.312,"Horseshoe tear of retina without detachment, left eye"
H33.311,"Horseshoe tear of retina without detachment, right eye"
H33.309,"Unspecified retinal break, unspecified eye"
H01.113,"Allergic dermatitis of right eye, unspecified eyelid"
H01.116,"Allergic dermatitis of left eye, unspecified eyelid"
H44.011,"Panophthalmitis (acute), right eye"
H44.012,"Panophthalmitis (acute), left eye"
M86.8X6,"Other osteomyelitis, lower leg"
M67.361,"Transient synovitis, right knee"
M67.362,"Transient synovitis, left knee"
M65.861,"Other synovitis and tenosynovitis, right lower leg"
M65.862,"Other synovitis and tenosynovitis, left lower leg"
T22.30X?,"Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, episode of care unspecified"
M01.X61,Direct infection of right knee in infectious and parasitic diseases classified elsewhere
M01.X62,Direct infection of left knee in infectious and parasitic diseases classified elsewhere
M05.811,Other rheumatoid arthritis with rheumatoid factor of right shoulder
